label,message
ham,"Sorry, I missed your call. I was in a meeting."
ham,Are we still on for dinner tonight at 8?
ham,Don't forget to bring the documents for the meeting tomorrow.
spam,IMPORTANT: Your insurance claim is ready. Please call 09061701461 for more info.
ham,"Let's catch up soon, it's been a while."
ham,"Hey, what time are we meeting today?"
spam,Final notice: You owe £500. Pay now at verify-acc.net to avoid legal action.
spam,Get 90% off on your next purchase! Limited time offer at www.spam-win.com
ham,Don't forget to bring the documents for the meeting tomorrow.
ham,Can you please send me the report by end of day?
ham,"Hey, what time are we meeting today?"
ham,"Hey, what time are we meeting today?"
ham,How was your weekend? Did you do anything fun?
spam,Winner! You have won a cash prize of $1000. Call 07090201529 to claim.
ham,"Let's catch up soon, it's been a while."
spam,Private! Your 2003 Account Statement for 5544 shows 1200 un-redeemed points. Call 09061701461
ham,"Hey, what time are we meeting today?"
ham,"Hey, what time are we meeting today?"
spam,Free entry into our ££500 weekly draw. Text the word WIN to 99887.
spam,Winner! You have won a cash prize of $1000. Call 07090201529 to claim.
spam,Get 50% off on your next purchase! Limited time offer at www.spam-win.com
ham,"Hey, what time are we meeting today?"
spam,Private! Your 2003 Account Statement for 5544 shows 450 un-redeemed points. Call 07090201529
spam,Your account has been suspended. Please verify your details at www.spam-win.com to avoid closure.
spam,"URGENT! Your mobile number has won a iPhone 15. To claim, text YES to 99887."
ham,Are we still on for dinner tonight at 8?
spam,"URGENT! Your mobile number has won a Brand New Car. To claim, text YES to 8007."
spam,Final notice: You owe £500. Pay now at www.spam-win.com to avoid legal action.
ham,Can you please send me the report by end of day?
ham,"I'll be home late tonight, don't wait up for me."
ham,Don't forget to bring the documents for the meeting tomorrow.
spam,Free entry into our ££500 weekly draw. Text the word WIN to 8007.
ham,"I'll be home late tonight, don't wait up for me."
ham,Can you please send me the report by end of day?
ham,"I'm running a bit late, see you in 10 minutes."
ham,Can you please send me the report by end of day?
ham,"I'll be home late tonight, don't wait up for me."
spam,"URGENT! Your mobile number has won a iPhone 15. To claim, text YES to 8007."
spam,IMPORTANT: Your insurance claim is ready. Please call 07090201529 for more info.
ham,Can you please send me the report by end of day?
spam,Final notice: You owe £500. Pay now at bit.ly/claim-now to avoid legal action.
ham,Can you please send me the report by end of day?
spam,IMPORTANT: Your insurance claim is ready. Please call 07090201529 for more info.
ham,Just checking in to see how you're doing.
ham,Don't forget to bring the documents for the meeting tomorrow.
spam,Winner! You have won a cash prize of $5000. Call 09061701461 to claim.
ham,"Let's catch up soon, it's been a while."
ham,Are we still on for dinner tonight at 8?
ham,Are we still on for dinner tonight at 8?
spam,Free entry into our £$5000 weekly draw. Text the word WIN to 8007.
spam,Free entry into our ££500 weekly draw. Text the word WIN to 8007.
ham,Don't forget to bring the documents for the meeting tomorrow.
spam,IMPORTANT: Your insurance claim is ready. Please call 07090201529 for more info.
ham,Just checking in to see how you're doing.
spam,Congratulations! You've been selected for a free Gift Voucher. Click here: www.spam-win.com
ham,Don't forget to bring the documents for the meeting tomorrow.
ham,"Sorry, I missed your call. I was in a meeting."
spam,Private! Your 2003 Account Statement for 8642 shows 800 un-redeemed points. Call 07090201529
ham,Just checking in to see how you're doing.
ham,Can you please send me the report by end of day?
ham,Don't forget to bring the documents for the meeting tomorrow.
ham,Don't forget to bring the documents for the meeting tomorrow.
spam,IMPORTANT: Your insurance claim is ready. Please call 07090201529 for more info.
spam,Congratulations! You've been selected for a free Amazon Gift Card. Click here: verify-acc.net
ham,"Hey, what time are we meeting today?"
ham,Are we still on for dinner tonight at 8?
spam,"URGENT! Your mobile number has won a Holiday. To claim, text YES to 65432."
spam,Free entry into our £$1000 weekly draw. Text the word WIN to 8007.
ham,Just checking in to see how you're doing.
spam,Final notice: You owe £500. Pay now at bit.ly/claim-now to avoid legal action.
ham,"I'm running a bit late, see you in 10 minutes."
spam,Final notice: You owe $1000. Pay now at verify-acc.net to avoid legal action.
spam,Winner! You have won a cash prize of £500. Call 09061701461 to claim.
ham,Don't forget to bring the documents for the meeting tomorrow.
spam,Congratulations! You've been selected for a free Gift Voucher. Click here: www.spam-win.com
ham,"Let's catch up soon, it's been a while."
spam,"URGENT! Your mobile number has won a Holiday. To claim, text YES to 65432."
ham,Are we still on for dinner tonight at 8?
ham,"Hey, what time are we meeting today?"
spam,Private! Your 2003 Account Statement for 1122 shows 800 un-redeemed points. Call 09061701461
spam,Final notice: You owe $1000. Pay now at verify-acc.net to avoid legal action.
spam,Free entry into our £$5000 weekly draw. Text the word WIN to 65432.
spam,Congratulations! You've been selected for a free Amazon Gift Card. Click here: bit.ly/claim-now
spam,Get 50% off on your next purchase! Limited time offer at bit.ly/claim-now
spam,Get 90% off on your next purchase! Limited time offer at verify-acc.net
spam,Private! Your 2003 Account Statement for 1122 shows 1200 un-redeemed points. Call 09061701461
ham,Are we still on for dinner tonight at 8?
ham,"I'll be home late tonight, don't wait up for me."
spam,Final notice: You owe $5000. Pay now at bit.ly/claim-now to avoid legal action.
